tree_id,group_id,Zmax,Zmean,Zsd,Zskew,Zkurt,Zentropy,Zq5,Zq10,Zq15,Zq20,Zq25,Zq30,Zq35,Zq40,Zq45,Zq50,Zq55,Zq60,Zq65,Zq70,Zq75,Zq80,Zq85,Zq90,Zq95,Zpcum5,Zpcum10,Zpcum15,Zpcum20,Zpcum25,Zpcum30,Zpcum35,Zpcum40,Zpcum45,Zpcum50,Zpcum55,Zpcum60,Zpcum65,Zpcum70,Zpcum75,Zpcum80,Zpcum85,Zpcum90,Zpcum95,Itot,Imax,Imean,Isd,Iskew,Ikurt,Ipcumzq5,Ipcumzq10,Ipcumzq15,Ipcumzq20,Ipcumzq25,Ipcumzq30,Ipcumzq35,Ipcumzq40,Ipcumzq45,Ipcumzq50,Ipcumzq55,Ipcumzq60,Ipcumzq65,Ipcumzq70,Ipcumzq75,Ipcumzq80,Ipcumzq85,Ipcumzq90,Ipcumzq95,p1th,p2th,p3th,p4th,slope_mean,dtm_mean,aspect_mean
1.0,1.0,-28.327899999999996,-39.68420976268262,9.002050178361415,-0.7056166133269123,-0.7238636800666556,4.313102202403505,-56.82295,-54.542,-51.4026,-48.639500000000005,-46.054199999999994,-43.736799999999995,-42.414100000000005,-40.634100000000004,-38.495,-37.0921,-35.689099999999996,-34.143299999999996,-32.9093,-32.1511,-31.7269,-31.358100000000004,-30.92615,-30.412999999999997,-29.75285,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1420136704.0,38656.0,11343.760366160506,6820.458176572418,0.5450413087956628,0.59619762256902,3.6006719533389373,6.997807444881024,10.447616175407294,13.987412862473272,16.941152166714225,20.011450390623803,24.15700735244147,28.877463334684716,33.431823757721844,38.779437391402006,44.687420740024756,50.55745844591593,56.054853716392635,61.74141838108566,67.89216371102256,74.17956743409401,80.58441337208055,87.0506212900473,93.39641263155465,74.58842888067034,22.335471399701255,2.919538944492815,0.15336565727568277,14.689565645007631,59.64423963064437,237.0524598757592
2.0,1.0,-28.471899999999998,-35.08011250919994,7.8052149028482045,-1.0735936561587682,-0.39379191536775027,3.5195774237962456,-49.88318,-48.10318,-46.492819999999995,-43.932320000000004,-41.908699999999996,-40.03584000000001,-31.684960000000004,-31.069100000000002,-30.657020000000003,-30.3672,-30.177000000000003,-30.013800000000003,-29.869200000000003,-29.739020000000004,-29.6362,-29.535279999999997,-29.42716,-29.29134,-29.106260000000002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,461376000.0,38656.0,12576.693471446095,8709.578019469998,0.7084366496517669,-0.23322561178829204,2.6902483007351923,5.1960604799556105,8.078623942294353,10.80260785129699,13.71751976695797,16.755943958940215,19.41190178942988,24.83423498404772,30.742460812872796,37.03104452767374,43.30170620058261,49.74293244555417,56.24397281176308,62.71910112359551,69.16798446386461,75.45079761409349,81.65110278818145,87.71729782216674,94.00654737134137,71.32342919449366,26.062423333787656,2.507836990595611,0.10631048112307483,9.466657579464014,56.24320371814093,196.06313176242503
3.0,1.0,-31.813200000000002,-35.39068788169081,2.028494999490932,-2.9412183026631293,12.737569363868646,3.2750213911718915,-38.827600000000004,-37.178999999999995,-36.582750000000004,-36.283,-36.04695,-35.7979,-35.48565,-35.2213,-35.023450000000004,-34.8666,-34.7088,-34.5689,-34.4321,-34.310199999999995,-34.18885,-34.071,-33.94025,-33.799299999999995,-33.54845,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,113069312.0,38656.0,13539.613459465932,10310.858957233278,0.798825870815784,-0.2776720625593674,1.82191963810658,5.420476954878792,8.492405083352766,12.38733282466599,16.07079381538998,20.061266491123604,24.936775064130575,30.030316271845713,35.11548031706428,40.008875264050424,46.058997864955614,52.47522510794087,59.12737135961348,66.0718126594774,73.0527059366913,79.50900771378178,85.74455993859766,91.48835008388482,96.73403867532156,72.80565201772244,24.368339121063347,2.7062627230271823,0.10777152436833913,6.2166268187938005,54.572250999880254,149.56188782655445
4.0,1.0,-31.0489,-43.52573645306934,6.8127933540545005,-0.40377733365668483,-0.8082171412685866,4.344634386965291,-55.35210000000001,-53.57261999999999,-51.92811,-50.39948,-49.2069,-47.023939999999996,-45.779485,-44.74252,-43.612555,-42.5319,-41.390074999999996,-40.43228,-39.590105,-38.90016,-37.873675,-36.90406,-36.059945,-35.1757,-34.158115,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,697949184.0,38912.0,14455.082097589264,9905.822196547368,0.5827465682093832,-0.5008470712129953,3.0684457394537192,7.077814994622875,11.686260528674822,16.424512647614183,21.8424245625309,25.573841203889135,30.544307363213424,36.379698382167604,42.535846277312935,47.505762253316135,52.2910733856521,57.03277332007025,62.423066032268615,67.65369554468882,72.99920333455108,78.26460443286369,83.39117593982314,88.76195548356712,94.10507914570468,74.89644602766961,22.477425234031976,2.477011018142656,0.14911772015574518,30.0657393726804,61.60788430950212,242.15691739051007
5.0,1.0,-29.577699999999997,-37.64739565955732,7.8611194244419025,-0.7766502464901143,-0.9761711441759346,3.969224247929656,-51.48874,-49.46388,-48.42402,-47.59178,-46.1481,-42.960980000000006,-36.83565,-34.93796,-34.08685,-33.327,-32.92458,-32.695660000000004,-32.47717,-32.097460000000005,-31.3364,-30.95204,-30.525260000000003,-30.2957,-30.084929999999996,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,455594496.0,38656.0,13113.2745013384,9002.354620413316,0.6696466433149111,-0.33211665619168995,3.467897908933474,6.441152440963642,9.609499760067338,13.31002558907121,17.34314191539311,20.60347278646667,24.08598017830312,28.092799435399673,32.83441949219685,38.93253003653495,44.87224007201351,50.458119669645875,56.341246054034855,62.989516010307554,68.53246620433272,74.35164800586178,80.85882407148307,87.1464645613278,93.2557007887997,72.1440290130386,24.335837434878968,3.2985061739055346,0.21011426762225482,9.10100052673451,55.796476875917456,195.04568885154598
6.0,1.0,-28.899500000000003,-34.846909853558024,6.275925535364863,-1.348495281673922,0.5857952871516212,3.8581982302271727,-47.743649999999995,-45.43468000000001,-43.78914,-41.434039999999996,-37.3641,-34.618599999999994,-33.45615000000001,-32.783699999999996,-32.18701,-31.763,-31.4093,-31.106699999999996,-30.8902,-30.696299999999997,-30.520999999999997,-30.35324,-30.1925,-30.027399999999997,-29.77231,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1229144064.0,38656.0,12921.628459993903,8335.93737734713,0.6122901317982283,-0.060051604712825224,2.5582836805694407,5.071267545087375,7.829016208794871,10.298491422401728,12.689696884872237,14.965038955759056,19.237592640727264,24.38742152197385,29.73392450113968,35.59163850788446,41.85678010157156,48.14295747190786,54.35078178110129,60.63431405873022,67.0721989509604,73.61642906652804,80.04531647805281,86.52466892603404,93.24174647765292,72.75001839723305,23.747148428876297,3.2694511316926507,0.22917696035659094,8.966073457077009,53.468813841026886,205.7344042692294
7.0,3.0,-24.480399999999996,-30.858691649502234,5.539384564897518,-2.0265421182334027,4.651163047699169,3.8751169725184615,-44.08586,-36.53989,-34.76032,-33.5043,-32.311875,-31.517970000000002,-30.979860000000002,-30.632279999999998,-30.225414999999998,-29.52765,-29.019884999999995,-28.731220000000004,-28.444225000000003,-27.957289999999997,-27.5705,-26.781859999999995,-25.905739999999998,-25.455109999999998,-25.210565,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95076864.0,38656.0,8159.7033985581875,6623.782608023993,1.2483119416098856,1.5854600499700187,3.424395655287915,5.910434740464305,8.71904231086124,11.331093124821617,14.968200886390196,19.67586983096119,25.280160691879782,30.306628540041036,35.16561926148511,40.03403393700491,44.30658545910811,50.373727093060204,56.73247279169831,63.77701309121849,69.49250661023065,74.91747308787971,79.97517461240624,86.4898194370399,92.97188430615465,66.87263989014761,29.025060075523516,3.8619979402677656,0.23171987641606592,3.1817854421397005,52.75766758496395,222.5688655037644
8.0,3.0,-22.4543,-30.63486651999609,7.815699498567415,-1.3428526686788937,0.49731736269077054,3.9522822682106264,-48.025835,-44.414109999999994,-41.78052,-37.92772,-32.826675,-30.55651,-29.540815,-28.60758,-27.833560000000002,-26.80375,-26.340470000000003,-26.010500000000004,-25.769654999999997,-25.549249999999997,-25.3054,-25.033320000000003,-24.76428,-24.49375,-24.085625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,158279936.0,42496.0,7738.336560086047,6767.3182826598095,1.602287058376284,2.908275063186199,3.9663195213826725,7.810688020495535,11.788814471090006,15.264418605779573,17.773795410177573,20.768226744797268,25.30402842720381,29.171040352202315,33.26286914849397,37.9578217671253,43.29358333832028,48.71927165803251,54.80145758967201,61.40250145160534,68.6107126047865,75.76571170713639,82.0774049340025,87.53075058104648,93.39458919164588,58.9615723085949,33.96401681822626,6.473061503862325,0.5769042730028356,5.569265480716124,52.591748943971844,206.74182462408484
9.0,3.0,-20.024500000000003,-28.05578799133164,7.598120709279413,-1.3132294468518169,0.8330979916088084,4.00806089132451,-44.226525,-39.40390000000001,-36.7454,-35.070699999999995,-33.073025,-29.05375,-27.284975000000003,-25.942100000000003,-25.228525,-24.5424,-24.103775000000002,-23.7335,-23.39575,-23.09715,-22.7466,-22.3554,-21.85595,-21.421799999999998,-20.988125,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,315527680.0,38656.0,7859.504807452798,6569.46028067103,1.5865395178657555,2.9414446969528267,4.286873341825351,7.777173780759901,11.942346230923386,16.229544108459834,20.663350993484947,25.01959384355756,29.239693962824436,34.07121936180052,38.496993987975955,42.75336097295806,47.40655399868563,52.58387219783697,57.92159217219864,63.33022319943531,68.97162746545723,74.95493010312121,80.4598671026263,86.47075527573365,93.44746172506957,59.9860509141633,33.221242465002746,6.24968863647686,0.5156179943207293,7.794948266536579,51.28123849449509,195.64583175887373
10.0,1.0,-22.494300000000003,-30.013098980591632,6.330525118719813,-1.9711003367376445,3.621976619368251,3.930704025414658,-46.28444,-37.596,-33.46214,-32.01544,-30.9052,-30.477500000000003,-30.05032,-29.589740000000003,-29.161199999999994,-28.601100000000002,-27.962200000000003,-27.193900000000003,-26.728960000000004,-26.294,-25.9441,-25.56516,-25.16214,-24.71682,-23.992599999999996,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,440760832.0,38912.0,9188.45154162063,7641.444560894665,1.4286008998087456,1.9728685792730554,3.927463318700696,8.034804689723428,12.826228624597933,16.818626932803323,21.0687904319048,25.84000204446479,30.958308019529284,35.99837836770396,41.27472379396906,46.76980371976428,51.62337473761733,55.80436330603895,60.933995151365906,66.91649406814804,72.5457419955138,77.99714471906614,82.89131462570613,87.95967060884394,94.33241835789983,67.36642414892951,28.670599762346516,3.785778315161875,0.16885905480622904,5.803866352800686,52.52344406595926,164.51589926720908
11.0,1.0,-19.543,-29.255383120063982,8.866714610665314,-1.0171426604632805,-0.29865246624464126,4.069800288368849,-47.698100000000004,-44.782799999999995,-41.2859,-39.33,-34.3567,-30.8716,-28.95375,-27.868399999999998,-26.523274999999998,-25.202749999999998,-24.399025,-23.714299999999998,-23.12725,-22.721650000000004,-22.289225,-21.951900000000002,-21.672475000000002,-21.3685,-20.904525,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,151968512.0,38656.0,7596.146755973208,6687.248920410047,1.712294515707584,3.3767427017427725,4.082866850732867,7.737350221603802,11.865531722782151,16.487289156322067,20.399341674148918,24.344748469998837,27.89462069616106,31.252284683816605,34.73224769089007,38.305029926199445,42.73154691413969,47.90920898139741,52.48177727765078,57.839687210992764,64.49285494089723,71.4194266770211,78.0025167318872,85.32597068529564,93.24104193373954,55.223432970108966,36.479056283115064,7.617714685594322,0.6498050584824553,10.084652098726924,52.05342171848446,194.39853092086523
12.0,1.0,-21.2272,-26.98753060440744,5.190501919396048,-1.6206280405611813,2.501425011182116,3.8319522082599233,-38.27378,-35.13124,-31.261265,-29.82078,-28.6437,-27.98254,-27.16313,-26.48264,-25.830255,-25.2927,-24.85928,-24.50584,-24.13557,-23.742980000000003,-23.132700000000003,-22.7693,-22.566515,-22.37413,-22.063145000000006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,317195264.0,38912.0,11384.511664632833,8892.54113701099,1.02250423438104,0.4588640011660421,2.7375944679930657,5.766542592514874,9.386833720190728,13.341656954878115,17.01440788220596,21.291576408908806,26.74658849887494,31.194130313370632,35.40624868850501,39.90431332543477,45.774807028644666,51.68912484140999,57.185055575104684,62.38834133412534,68.02583281949633,73.96379789579709,79.86302342773945,85.81947049499453,92.90315759569474,63.54891967554374,30.503912138396384,5.606201995549494,0.3409661905103725,5.876972208105168,51.292580607996555,211.2025483947758
13.0,1.0,-21.187900000000003,-26.953142337704126,3.9432598091663063,-1.6654231744350634,2.9559238246312773,3.612856570540759,-35.44865,-31.9472,-30.847900000000003,-30.1395,-29.5351,-27.711999999999996,-26.484250000000003,-26.1443,-25.7541,-25.359699999999997,-25.031,-24.775799999999997,-24.594299999999997,-24.4288,-24.29175,-24.090899999999998,-23.86025,-23.617499999999996,-23.226599999999998,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,142929920.0,38656.0,11497.861797120104,8131.525144348703,0.8657969198752,0.3762932858614514,3.7363877346324688,7.194798681759565,12.155932081960167,16.43072073362946,20.154391746668576,23.444440464249894,27.7387519701963,32.32071213640923,37.76955867602808,43.37817022496059,48.64737068347901,54.05609686201461,59.60488608683192,65.56741653532025,71.35406218655967,77.73051296747386,83.74283564980655,89.65306634188279,95.12860008597221,71.27342932990105,25.5892526747647,2.9201190571957203,0.21719893813852467,11.169562915106317,50.938260703081006,231.926329803471
14.0,1.0,-20.7697,-26.193861041679494,5.168739475186492,-1.5446436489477422,2.0093309673237565,3.7366342246213384,-36.83593,-33.37708,-32.34946000000001,-30.88404,-28.381750000000004,-26.45956,-25.773220000000002,-25.19872,-24.673080000000002,-23.909200000000002,-23.48704,-23.189020000000003,-22.94394,-22.77046,-22.6042,-22.40434,-22.212089999999996,-21.97116,-21.596909999999998,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,221242112.0,38656.0,13620.766607153852,8779.199644899993,0.6090374060778209,-0.15232234592307314,2.1791728330635354,5.057814671376849,9.261108481915052,13.41267977047697,16.595639802968435,20.866392741721793,26.1393129351432,30.759395390331473,35.453301042434454,41.110379564628275,46.42183130126691,51.94942995301003,57.914645110601725,63.76831550044143,69.71293421751461,75.96962372154537,82.12471954706344,88.24139953970428,94.71250030373965,74.58597549713723,21.929446530813273,3.189066059225513,0.2893554146401527,2.914387679890007,50.67975811118636,222.0529835001155
15.0,3.0,-21.533599999999996,-28.438816703696222,5.536239853101499,-1.5614619610786318,3.2722823280302125,3.847595507897732,-38.48224,-33.749399999999994,-33.078455,-32.66864,-32.26979999999999,-31.478009999999998,-30.641165,-28.818579999999997,-27.487295,-26.782400000000003,-25.925739999999998,-25.24416,-24.886940000000003,-24.57966,-24.290650000000007,-23.902459999999998,-23.429515000000002,-23.04297,-22.595200000000002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75487744.0,38912.0,7623.484548576045,7027.662076056337,1.8572055328658674,3.832181321445975,4.97466714596743,8.350007121685872,13.798435942131215,19.682644112400553,25.99110128393822,31.721684516098403,38.6846585321188,42.594464076181694,45.262383255220875,48.09477946512748,50.781350678594926,54.34524576598818,58.27031206549238,62.20012615557832,66.83498714705264,72.53403148463411,79.84495072471633,87.13993095355983,94.79133460393253,57.180367602504546,34.29610179761664,7.735810947283377,0.7473237729751565,4.2058782314409875,50.99376269440517,215.51276818679767
16.0,3.0,-20.4793,-27.40065203681089,6.211799307125886,-1.4667338494490878,1.8158116430012656,3.9382158617060723,-39.90958,-36.89796,-33.8838,-31.732159999999997,-30.892425,-29.07419,-27.692815,-26.52254,-25.541040000000002,-24.60595,-24.10823,-23.77558,-23.463199999999997,-23.18281,-22.913024999999998,-22.651400000000002,-22.391,-22.06455,-21.708435,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,205862656.0,38656.0,8978.657362177251,7916.17530067057,1.5527258780009716,2.225816761848839,3.8719096289129777,9.210956648689114,13.163448158368265,17.71719490493701,22.793480328943197,27.04230921804487,30.73639154835348,34.158385676321984,38.84133701257599,43.93441032840847,48.33345976066684,52.31616947563331,57.25665950797798,62.94825225610613,69.3792583731165,76.18432359096737,82.79029684723392,89.25264036232001,94.99683517150386,60.772854152128396,32.750348918353104,5.98831123517097,0.4623168178646197,4.980589361361783,50.69782952285415,166.3253119185521
17.0,1.0,-21.751300000000004,-30.38257573727708,5.6125375346566395,-2.064462040930491,3.83842938810486,3.4289593618066507,-43.89677999999999,-38.3481,-37.22593,-31.453079999999996,-30.482799999999997,-29.832319999999996,-29.134119999999996,-28.61392,-28.391339999999996,-28.167800000000003,-27.95233,-27.77326,-27.614849999999997,-27.484239999999996,-27.36095,-27.20516,-27.00621,-26.74924,-26.46041,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,177153536.0,38656.0,15411.3558938669,9340.399674064161,0.4566381913957319,-0.49798780378739504,3.7089273792423763,6.3541356577833135,9.530119681043228,12.144403372225096,15.813880226472024,19.958930991927815,24.775507726811618,29.996127201209237,35.30402915581657,40.458608740386644,45.83370664416204,51.407357739672776,57.03303150550718,63.28731253775256,69.4806114397852,75.85584518053312,82.31489322346917,88.90500949413733,95.55769747661147,80.3479773814702,17.216180948238364,2.3053501522401043,0.13049151805132667,4.163951620842036,50.42915946933449,208.78983198510727
