tree_id,Zmax,Zmean,Zsd,Zskew,Zkurt,Zentropy,Zq5,Zq10,Zq15,Zq20,Zq25,Zq30,Zq35,Zq40,Zq45,Zq50,Zq55,Zq60,Zq65,Zq70,Zq75,Zq80,Zq85,Zq90,Zq95,Zpcum5,Zpcum10,Zpcum15,Zpcum20,Zpcum25,Zpcum30,Zpcum35,Zpcum40,Zpcum45,Zpcum50,Zpcum55,Zpcum60,Zpcum65,Zpcum70,Zpcum75,Zpcum80,Zpcum85,Zpcum90,Zpcum95,Itot,Imax,Imean,Isd,Iskew,Ikurt,Ipcumzq5,Ipcumzq10,Ipcumzq15,Ipcumzq20,Ipcumzq25,Ipcumzq30,Ipcumzq35,Ipcumzq40,Ipcumzq45,Ipcumzq50,Ipcumzq55,Ipcumzq60,Ipcumzq65,Ipcumzq70,Ipcumzq75,Ipcumzq80,Ipcumzq85,Ipcumzq90,Ipcumzq95,p1th,p2th,p3th,p4th,slope_mean,dtm_mean,aspect_mean,Common Name,group_id
1.0,-28.3279,-39.68161654644652,9.001474314113787,-0.7059834357407054,-0.7234917114520143,4.312890660575328,-56.8217,-54.53636,-51.39461,-48.63824,-46.0489,-43.73624,-42.40948,-40.6285,-38.490390000000005,-37.086400000000005,-35.68507,-34.13754,-32.90572,-32.15066,-31.72685,-31.3581,-30.92608,-30.41296,-29.75283,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2484921624.0,65535.0,19849.677873900644,11905.06969404004,0.5304428525822107,0.5216181224695644,3.737472365446324,7.230649581244096,10.752735153468969,14.378540656942668,17.331298896532118,20.392306304788303,24.598747304393857,29.454651644980817,34.116287967076744,39.54797968308074,45.55630193992791,51.50235398329811,57.01657353358844,62.59211135586303,68.58719456336463,74.73102974615186,81.02775832256994,87.3926276799143,93.5932600262969,74.58761692508008,22.334587457164083,2.921229840159122,0.1533705576457619,14.684348663162304,59.64279570881961,237.05129305190923,Rain Tree,4
2.0,-26.655899999999995,-35.241958742233415,8.128782932663487,-0.9404370643525656,-0.6502235001850809,3.832016650061385,-50.234235,-48.29021,-46.95603,-44.47916,-42.6205,-40.80136,-32.97399000000001,-31.3919,-30.82909,-30.42275,-30.1518,-29.92596,-29.735715,-29.5863,-29.431825000000003,-29.239980000000003,-28.9858,-28.58027,-27.966315000000005,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1357830081.0,65535.0,22801.512695214107,15374.833353366934,0.5700188075806882,-0.5787629995228376,2.8119713603546246,5.37819562416956,8.355633270139638,11.405531381801817,14.347371790182043,17.221831160772467,19.641806050104734,24.55936767540209,30.19311861894154,36.04717812994158,41.95703379766264,47.91528123466282,53.97063625665839,59.90761424293412,65.69346153703307,71.59172193946998,77.95140922349326,84.78150190576018,92.22778045082948,71.91267842149455,24.809403862300588,3.121746431570109,0.1561712846347607,12.237450727850494,55.579723464315705,210.05347871486455,Rain Tree,4
5.0,-29.5777,-37.64739565955732,7.8611194244419025,-0.7766502464901143,-0.9761711441759346,3.969224247929656,-51.48874,-49.46388,-48.42402,-47.59178,-46.1481,-42.960980000000006,-36.83565,-34.93796,-34.08685,-33.327,-32.92458,-32.695660000000004,-32.47717,-32.097460000000005,-31.3364,-30.95204,-30.525260000000003,-30.2957,-30.08493,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,763235198.0,65535.0,21968.0280344242,15039.048876947432,0.6672733116201054,-0.3308503627002359,3.517378662612465,6.496333388439981,9.691358862094829,13.427151193831602,17.51849277265643,20.846046463386507,24.38834536035116,28.43142593117148,33.194645328712944,39.27144748898229,45.13162520578617,50.64035529451565,56.445309929220535,63.01591806304509,68.56451738222901,74.38660592275254,80.8979396676095,87.18367807769788,93.28306632944356,72.1440290130386,24.335837434878968,3.2985061739055346,0.2101142676222548,9.10100052673451,55.796476875917456,195.045688851546,Rain Tree,4
6.0,-25.9267,-34.98043989412102,6.142782000132374,-1.3181913843870492,0.5284619083685103,3.786162116943768,-47.53392,-45.34396,-43.58522,-41.57034,-37.6678,-34.86392,-33.94124,-33.09886,-32.53526,-32.0384,-31.64262,-31.311380000000003,-31.047100000000004,-30.85778,-30.6702,-30.4823,-30.30064,-30.1264,-29.8912,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2324516600.0,65105.0,20206.68654432921,13232.53631901717,0.6759214816523629,0.0966428109456578,2.817345851606308,5.380620641728263,8.196001396591445,10.855463970444436,13.020162600688677,15.42298415937318,19.610714589003152,24.438050173528552,29.7814083581937,35.45351966942288,41.569648588442,47.92203923172672,54.03247935506247,60.21454873671369,66.60295693306729,73.21187390100806,79.84170889551831,86.3194929646878,93.08427137065831,73.34162052209288,23.47853299373245,2.983387953441067,0.1929813885967123,7.230366213562262,53.19238232568652,202.25864046058612,Rain Tree,4
10.0,-22.1906,-26.490070897076784,3.807126045245469,-2.314084285902695,7.450569448781087,3.5253149393054346,-33.55606,-31.0219,-30.16806,-28.91456,-27.8301,-27.08638,-26.62964,-26.11218,-25.43885,-25.0288,-24.78428,-24.587300000000003,-24.42154,-24.23882,-24.03705,-23.81234,-23.57299,-23.3375,-23.09251,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,335175498.0,62307.0,24073.511312217197,15925.861531848204,0.5020516215973398,-0.6349342499518538,2.01634458375594,4.50492177682988,7.839242473505625,11.389308057356866,16.342449053361292,20.64558877749471,24.867356801838778,29.730396342992822,34.839961959271854,39.89991595388037,44.78167016850379,50.08412488433149,55.88121838189974,61.7660283151127,68.01011033330366,74.38730082829622,80.9892419403521,87.56662367963425,94.08870066033288,76.348488113194,21.17359764418588,2.40609064138476,0.0718236012353659,7.649804064420347,51.56521949292537,204.43562104406328,Mahogany,1
11.0,-24.8066,-29.925380196965666,4.76648892804418,-2.6785873304462844,7.948894903944945,3.588551730052143,-39.767145,-34.70532,-33.39585,-31.287360000000003,-30.681325,-29.9287,-29.406435,-28.91992,-28.530875,-28.24585,-28.03904,-27.87804,-27.72471,-27.587580000000003,-27.4377,-27.28778,-27.06319,-26.47551,-25.859485,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,171304869.0,62246.0,22798.092760181,14993.992793461304,0.528305284825673,-0.5306864463065932,1.930640395282635,4.718890973262412,7.633716470720982,10.75556819111779,14.145533131343749,17.665718538332964,22.152024178600552,27.299959582584894,32.307199044062195,38.16803771059187,43.7735520523938,50.03902311731723,56.33167788126325,62.81497346114546,69.03641892397115,75.42799089966323,81.67591838851936,87.55886734311096,93.82406345963231,71.65291455948896,24.940111791322863,3.3138142134681927,0.0931594357199893,11.264660501030235,52.0159739020495,177.1079079060318,Mahogany,1
12.0,-21.2272,-27.20495275615401,5.39886953665076,-1.569355949820065,2.2529100882018325,3.861301699527411,-38.87649,-35.58132,-32.686965,-30.10522,-28.836925,-28.164900000000003,-27.3589,-26.74836,-26.031085,-25.4681,-24.953065,-24.56626,-24.18789,-23.795750000000005,-23.17555,-22.78146,-22.5706,-22.38137,-22.0735,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,481612641.0,60874.0,16888.023038081214,13401.644535207526,1.083822705414033,0.6457156153099559,2.8293808841284127,5.952013414863835,9.846431335675842,13.077497689683772,17.081307257464616,21.057392677531485,26.654851445230232,31.13370086978261,35.484646259523736,39.68301861910639,45.27469992217252,51.38138930203039,56.7119892104327,61.686258770770095,67.32081145685709,73.45043565831155,79.49802671396243,85.46714350049628,92.69220012022068,61.96437337821726,31.69577109194193,5.957640788274072,0.3787081843046497,5.827492178523599,51.28031364050775,211.11147017284696,Narra,2
13.0,-22.4248,-27.0282043047732,3.7633843074642455,-1.6260593146106308,3.1195349063113724,3.6700758209983246,-34.74842,-31.90408,-30.8152,-30.11942,-29.3636,-28.00248,-26.76594,-26.2814,-26.022340000000003,-25.6631,-25.34566,-25.03462,-24.771200000000004,-24.57664,-24.3961,-24.24258,-23.99366,-23.6976,-23.29494,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,303510225.0,59190.0,17996.455677438484,12655.39975804798,0.8494868353303429,0.3412515981290482,4.054169838923878,7.387977785591902,11.972320866619896,16.44149550480548,20.152072965581308,23.827823922571305,28.187521524192476,32.80804954758938,37.674949501289454,42.7536195856334,48.297354067725394,54.04656828283133,59.86617419561401,65.73166060550348,71.6636650379736,77.7573005983571,84.17368146328513,89.86672195310717,95.21180217239798,72.74236584642752,24.20990216424548,2.869848799288467,0.1778831900385413,9.833633797401069,50.89074430477321,229.24551794256536,Narra,2
14.0,-21.0618,-26.478442396807434,5.240899570041462,-1.443438852448617,1.5961491584906664,3.792983966852277,-37.99144,-33.46901999999999,-32.41236000000001,-31.45904,-29.8496,-27.079,-26.185220000000005,-25.57996,-24.91142,-24.252900000000004,-23.739760000000004,-23.35754,-23.069980000000005,-22.85724,-22.6881,-22.4966,-22.286960000000004,-22.07184,-21.72582,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,337091880.0,57251.0,20078.1392578474,12825.197128479032,0.5792770823644635,-0.1984657894904544,2.206854700860786,5.03053559166124,9.171540708723091,13.775013506703276,17.135296169103807,20.66027962465308,25.66583300671615,30.80608111948588,35.491406081926385,40.564570110677245,46.167656129836175,51.773601903433565,57.42412484097808,63.17232826848277,69.09968433532127,75.43132898959179,81.59428729045624,87.67664620102981,93.96122386573062,75.88897492405742,20.686163559473464,3.1151349097623444,0.2978140449103579,2.981578946575057,50.65417020072667,221.6919370453668,Mahogany,1
17.0,-21.751300000000004,-29.882404457298403,4.940887508399492,-2.305754033035221,5.454382671896788,3.346389790739208,-40.1866,-37.5831,-32.063725,-30.824,-30.000175,-29.3833,-28.80995,-28.512200000000004,-28.31135,-28.08535,-27.902675,-27.738100000000003,-27.5865,-27.4681,-27.3522,-27.2012,-27.0062,-26.74945,-26.466375,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,248763334.0,53980.0,21160.542191221502,12937.619844554138,0.470362098438869,-0.5092658678780864,3.155675667218707,6.00460476221146,8.567807665739036,11.713711796449877,15.668982391110742,20.15999793603024,24.99743310242015,30.185913973962094,35.30851737177634,40.707304557994064,46.05931957802109,51.65006592169247,57.47795292050556,63.5962042541205,69.69838448941194,76.09406858970623,82.55758221989419,89.09612499404756,95.52682952866358,79.17659067710106,18.280027220142905,2.432800272201429,0.1105818305546104,3.799939046955585,50.41282030452536,215.6454269922524,Mahogany,1
